SMILES,SA,LogP,MW,NumHeavyAtoms,lowest_mode1_affinity,pareto_rank
CNC(=O)c1ccc(-c2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)c(C)c1N,4.589966556901001,3.4759600000000006,635.6700000000001,46,-9.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Cc4cccc(C(=O)NCCN)c4)c(=O)oc3c2C)OC1(C)C,4.436396551127071,2.8380400000000003,649.6970000000002,47,-8.3,1
C#CC(N)c1c(O)c2ccc(O[C@@H]3OC(C)(C)[C@H](OC)[C@@H](OC(=O)c4ccc(C)[nH]4)[C@H]3O)c(C)c2oc1=O,4.74713149953154,2.19174,526.5420000000003,38,-7.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4n[nH]c(=O)[nH]c4=O)c(=O)oc3c2C)OC1(C)C,4.670041949044061,1.0739399999999997,599.5530000000001,43,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cccc(C(=O)NCC(N)=O)c4)c(=O)oc3c2C)OC1(C)C,4.481890460282162,2.51744,664.6680000000001,48,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4cncc(N)n4)c(=O)oc3c2C)OC1(C)C,4.586053474626635,2.18324,609.5920000000001,44,-9.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCc4cccc5ccccc45)c(=O)oc3c2C)OC1(C)C,4.38018375046093,5.3240400000000045,628.6780000000001,46,-9.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)c4ccc(N)nn4)c(=O)oc3c2C)OC1(C)C,4.560531622764408,1.86094,623.6190000000001,45,-8.7,1
CCCNc1c(O)c2ccc(O[C@@H]3OC(C)(C)[C@H](OC)[C@@H](OC(=O)c4ccc(C)[nH]4)[C@H]3O)c(C)c2oc1=O,4.391832895967465,3.3806400000000014,530.5740000000003,38,-6.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)COc4ccc(CN)cc4)c(=O)oc3c2C)OC1(C)C,4.396960574795712,3.034940000000001,651.6690000000002,47,-8.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C#CCC(N)C#N)c(=O)oc3c2C)OC1(C)C,4.93326761622828,2.1512200000000004,565.5790000000003,41,-8.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc5nc(N)ncc5c4)c(=O)oc3c2C)OC1(C)C,4.513307367677561,3.751140000000001,616.6270000000001,45,-9.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ncc(CO)cc4N)c(=O)oc3c2C)OC1(C)C,4.621590971208337,2.695240000000001,595.6050000000002,43,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(N)(C(N)=O)C(N)=O)c(=O)oc3c2C)OC1(C)C,4.779730571070688,-0.3166599999999977,588.5700000000003,42,-6.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4c(N)o[nH]c4=O)c(=O)oc3c2C)OC1(C)C,4.754953885437064,2.08924,571.5390000000002,41,-8.6,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4nc(N)oc4C)c(=O)oc3c2C)OC1(C)C,4.654171193129371,3.1043600000000016,569.5670000000002,41,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc(C(N)=O)cc4N)c(=O)oc3c2C)OC1(C)C,4.468896408510931,2.9068400000000016,607.6160000000002,44,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(O)C(N)(CO)CO)c(=O)oc3c2C)OC1(C)C,4.89027260828999,0.27424,592.5980000000002,42,-7.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C4C(O)C(N)CS4(=O)=O)c(=O)oc3c2C)OC1(C)C,5.176814591036472,0.71644,622.6490000000001,43,-8.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)Cn4cc(N)ccc4=O)c(=O)oc3c2C)OC1(C)C,4.530921598659245,1.9413399999999992,638.6300000000001,46,-8.6,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(O)C(N)CO)c(=O)oc3c2C)OC1(C)C,4.808144181228934,0.91174,562.5720000000002,40,-7.200000000000001,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC4CONC4=O)c(=O)oc3c2C)OC1(C)C,4.878842111754878,1.4006399999999994,573.5550000000002,41,-7.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cc(=O)n(C)c(N)n4)c(=O)oc3c2C)OC1(C)C,4.591697379793233,1.90164,596.5930000000002,43,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cc5ccccc5c(N)n4)c(=O)oc3c2C)OC1(C)C,4.464555613831406,4.356140000000002,615.6390000000001,45,-9.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc(CN)cn4)c(=O)oc3c2C)OC1(C)C,4.45504794033935,3.0794400000000017,579.6060000000002,42,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4nnc(C(N)=O)o4)c(=O)oc3c2C)OC1(C)C,4.699170501847191,1.7842399999999996,599.5530000000001,43,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C4CC(N)(C#N)C4)c(=O)oc3c2C)OC1(C)C,4.754537565270743,2.6572200000000006,567.5950000000003,41,-8.6,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OC4COCC4N)c(=O)oc3c2C)OC1(C)C,4.901309484191001,1.6636399999999991,574.5830000000003,41,-8.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(Cl)c(N)c4)c(=O)oc3c2C)OC1(C)C,4.414249830716958,4.046640000000002,642.0610000000001,45,-9.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC4CC4)c(=O)oc3c2C)OC1(C)C,4.404078753955631,3.133040000000001,528.5580000000003,38,-7.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cccc(N)n4)c(=O)oc3c2C)OC1(C)C,4.444483599528281,3.2029400000000017,565.5790000000002,41,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc5c(N)[nH]nc5n4)c(=O)oc3c2C)OC1(C)C,4.6689114967833145,3.0792400000000013,605.6040000000002,44,-9.6,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cnc5ccc(N)cc5n4)c(=O)oc3c2C)OC1(C)C,4.532182444600636,3.751140000000001,616.6270000000001,45,-9.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cnc(C#N)c(N)[n+]4[O-])c(=O)oc3c2C)OC1(C)C,4.939492562357085,1.7080199999999996,607.5760000000001,44,-9.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc5nc(N)nnc5c4)c(=O)oc3c2C)OC1(C)C,4.580889890754482,3.146140000000001,617.6150000000001,45,-9.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ncnc(N)n4)c(=O)oc3c2C)OC1(C)C,4.560685914027943,1.99294,567.5550000000002,41,-8.2,1
C=CCNc1c(O)c2ccc(O[C@@H]3OC(C)(C)[C@H](OC)[C@@H](OC(=O)c4ccc(C)[nH]4)[C@H]3O)c(C)c2oc1=O,4.507237925553263,3.156640000000001,528.5580000000002,38,-7.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccnc(N)c4C#N)c(=O)oc3c2C)OC1(C)C,4.581107398848495,3.074620000000001,590.5890000000002,43,-9.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cccc(NC(=O)CO)c4)c(=O)oc3c2C)OC1(C)C,4.468328832370414,3.233140000000001,637.642,46,-9.2,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OCc4ncc(N)cn4)c(=O)oc3c2C)OC1(C)C,4.568011108598366,2.5099400000000003,596.5930000000002,43,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)[C@@H](C)N)c(=O)oc3c2C)OC1(C)C,4.537831959689111,1.84444,559.5720000000002,40,-7.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CC(=O)N4CC(C)(N)C4)c(=O)oc3c2C)OC1(C)C,4.612921405502272,1.6608399999999992,599.6370000000003,43,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OC[C@H](O)CN)c(=O)oc3c2C)OC1(C)C,4.599122079660882,1.2571399999999997,562.5720000000002,40,-7.2,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CC(=O)N4CCC(CN)CC4)c(=O)oc3c2C)OC1(C)C,4.506601970158949,2.29854,627.6910000000003,45,-8.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc5cc(N)[nH]c(=O)c5c4)c(=O)oc3c2C)OC1(C)C,4.605983587064539,3.649440000000001,631.6380000000001,46,-9.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(N)CO)c(=O)oc3c2C)OC1(C)C,4.593167645909434,1.5508399999999998,532.5460000000003,38,-7.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cccc5ccccc45)c(=O)oc3c2C)OC1(C)C,4.351316220424812,5.4555400000000045,614.6510000000001,45,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CCNC(=O)CN)c(=O)oc3c2C)OC1(C)C,4.452380808513986,1.1761400000000004,573.5990000000003,41,-7.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OCCN)c(=O)oc3c2C)OC1(C)C,4.399392363423086,1.89624,532.5460000000004,38,-7.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cc(C#N)n[nH]4)c(=O)oc3c2C)OC1(C)C,4.811560141930862,2.897120000000001,579.5660000000001,42,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc5nc(N)nn5c4)c(=O)oc3c2C)OC1(C)C,4.628964208006518,2.850640000000001,605.6040000000002,44,-9.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCc4ccccc4)c(=O)oc3c2C)OC1(C)C,4.295980137850062,4.170840000000003,578.6180000000002,42,-8.2,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C4CNC(=O)[C@@H]4N)c(=O)oc3c2C)OC1(C)C,4.927123885387152,1.09944,571.5830000000002,41,-7.6,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCC(=O)NC4CC4)c(=O)oc3c2C)OC1(C)C,4.458645885213067,2.2492400000000004,585.6100000000002,42,-8.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Cc4cc(S(N)(=O)=O)cc(N)c4C)c(=O)oc3c2C)OC1(C)C,4.642856878201573,2.6875600000000004,671.7250000000001,47,-9.7,1
C#Cc1ccc(-c2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)nc1N,4.638091362342626,3.18424,589.6010000000001,43,-9.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)CNC(=O)c4ccc(N)cc4)c(=O)oc3c2C)OC1(C)C,4.41785304769475,2.50944,664.6680000000001,48,-8.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cccc(Cc5cccc(N)n5)c4)c(=O)oc3c2C)OC1(C)C,4.529818442747459,4.793740000000003,655.7040000000002,48,-10.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ncc5c(=O)[nH][nH]c5c4N)c(=O)oc3c2C)OC1(C)C,4.8565802580001405,2.37254,621.6030000000001,45,-9.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4nc(C#N)c(N)o4)c(=O)oc3c2C)OC1(C)C,4.694330299928785,2.6676200000000003,580.5500000000003,42,-8.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CC(C)NC(=O)CN)c(=O)oc3c2C)OC1(C)C,4.617193940381281,1.5646400000000005,587.6260000000002,42,-7.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4c(N)[nH][nH]c4=O)c(=O)oc3c2C)OC1(C)C,4.687696193129371,1.82434,570.5550000000002,41,-8.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCCN4CCOCC4)c(=O)oc3c2C)OC1(C)C,4.466625012929329,2.30284,601.6530000000002,43,-8.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CC(=O)NCc4ccc(N)cc4)c(=O)oc3c2C)OC1(C)C,4.399397881431589,2.9998400000000016,635.6700000000002,46,-9.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C[C@@H](N)C(N)=O)c(=O)oc3c2C)OC1(C)C,4.613256318663469,0.9138400000000004,559.5720000000002,40,-6.8,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C(CN)(CO)CO)c(=O)oc3c2C)OC1(C)C,4.781352949886127,0.7398399999999998,576.5990000000003,41,-7.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cccc5c4Cc4cc(N)ccc4-5)c(=O)oc3c2C)OC1(C)C,4.579468270531615,5.379140000000004,652.7000000000002,48,-10.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4cc(N)c(C)c(F)c4)c(=O)oc3c2C)OC1(C)C,4.506935249615719,4.255460000000003,596.6080000000002,43,-9.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OCC(N)CO)c(=O)oc3c2C)OC1(C)C,4.630026949103366,1.25714,562.5720000000002,40,-7.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ncc(C(N)=O)c(N)n4)c(=O)oc3c2C)OC1(C)C,4.599532562357084,1.69684,609.5920000000001,44,-9.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CC(=O)NCCN)c(=O)oc3c2C)OC1(C)C,4.430401275546953,1.1761400000000004,573.5990000000003,41,-7.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4nc(N)nnc4C)c(=O)oc3c2C)OC1(C)C,4.625455918657884,2.30136,581.5820000000002,42,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNS(=O)(=O)NCCN)c(=O)oc3c2C)OC1(C)C,4.644134066183767,0.4414400000000016,624.6690000000001,43,-7.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OCc4ccc(N)nc4)c(=O)oc3c2C)OC1(C)C,4.447592621203407,3.1149400000000016,595.6050000000002,43,-8.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OCCCCN)c(=O)oc3c2C)OC1(C)C,4.382767017609182,2.6764400000000013,560.6000000000004,40,-7.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc5oc(=O)[nH]c5c4N)c(=O)oc3c2C)OC1(C)C,4.7277049478264415,3.242440000000001,621.5990000000002,45,-9.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cc(S(N)(=O)=O)ccc4C)c(=O)oc3c2C)OC1(C)C,4.498673879977925,3.258160000000002,657.6980000000001,46,-9.3,1
CNC(=O)c1cc(N)c(-c2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)cc1O,4.596931726131771,2.8731400000000007,637.6420000000003,46,-9.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ncc(N)c(=O)[nH]4)c(=O)oc3c2C)OC1(C)C,4.61976213939367,1.89124,582.5660000000003,42,-8.6,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cnn(CC(=O)NCCO)c4)c(=O)oc3c2C)OC1(C)C,4.627921876570858,1.607339999999999,655.6610000000002,47,-8.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(OCc4cc(N)ccc4C)c(=O)oc3c2C)OC1(C)C,4.434060467633628,4.028360000000003,608.6440000000002,44,-9.0,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCCc4cccc(S(N)(=O)=O)c4)c(=O)oc3c2C)OC1(C)C,4.508949323935659,2.8607400000000016,671.7250000000001,47,-9.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc(F)c(N)n4)c(=O)oc3c2C)OC1(C)C,4.512843343407047,3.3420400000000017,583.5690000000002,42,-9.1,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4ccc(S(=O)(=O)NCCN)cc4)c(=O)oc3c2C)OC1(C)C,4.476999055599345,2.462740000000001,671.7250000000001,47,-8.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4cccc(-c5noc(C)n5)c4)c(=O)oc3c2C)OC1(C)C,4.537326556999062,4.6607600000000025,646.6530000000001,47,-9.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)Cn4cnc(N)n4)c(=O)oc3c2C)OC1(C)C,4.6072958907544805,1.0488399999999998,626.6230000000002,45,-7.9,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4nc5c(N)cccc5[nH]4)c(=O)oc3c2C)OC1(C)C,4.557793842306644,3.6842400000000017,604.6160000000001,44,-9.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4c(N)cnn4C)c(=O)oc3c2C)OC1(C)C,4.577624485434008,2.126739999999999,611.6080000000001,44,-8.5,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(Nc4ccc(-c5ccccc5)cc4)c(=O)oc3c2C)OC1(C)C,4.309264732945254,5.969340000000005,640.6890000000001,47,-8.4,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(CNC(=O)c4cccc(CN)c4)c(=O)oc3c2C)OC1(C)C,4.404270201237768,2.947440000000001,635.6700000000002,46,-8.2,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(-c4nccc(CN)n4)c(=O)oc3c2C)OC1(C)C,4.563092104795583,2.4744400000000004,580.5940000000003,42,-8.3,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(C4(N)CC4)c(=O)oc3c2C)OC1(C)C,4.556306383644836,2.506540000000001,528.5580000000003,38,-6.7,1
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NCC(=O)NCCO)c(=O)oc3c2C)OC1(C)C,4.481838794912065,1.0791399999999998,589.5980000000002,42,-7.6,1
